Continent,Region,ALL,ANT,NAT,GHG,OA
North and Central America,GIC,"2.3 [1.0, 3.5]","2.0 [1.3, 2.6]","-0.1 [-0.6, 0.5]","2.2 [0.7, 3.7]","-0.2 [-1.9, 1.5]"
,NWN,"2.5 [1.8, 3.1]","2.7 [2.0, 3.4]","0.0 [-0.4, 0.4]","3.0 [2.3, 3.8]","-0.4 [-1.6, 0.8]"
,NEN,"2.8 [2.0, 3.6]","2.7 [2.0, 3.4]","0.2 [-0.2, 0.5]","2.9 [1.9, 3.9]","-0.4 [-1.5, 0.8]"
,WNA,"1.5 [1.1, 1.9]","1.4 [1.1, 1.7]","0.0 [-0.1, 0.2]","2.2 [1.7, 2.7]","-0.9 [-1.6, -0.2]"
,CNA,"1.6 [1.3, 2.0]","1.4 [1.1, 1.7]","0.0 [-0.1, 0.2]","1.8 [1.1, 2.6]","-0.5 [-1.3, 0.4]"
,ENA,"1.5 [1.3, 1.8]","1.4 [1.1, 1.7]","0.1 [-0.1, 0.3]","2.0 [1.5, 2.6]","-0.7 [-1.3, -0.0]"
,NCA,"1.4 [1.2, 1.7]","1.2 [1.0, 1.4]","0.1 [0.0, 0.3]","1.3 [0.8, 1.8]","-0.1 [-0.5, 0.4]"
,SCA,"1.1 [0.9, 1.3]","1.1 [0.9, 1.3]","0.0 [-0.1, 0.1]","1.1 [0.8, 1.5]","-0.0 [-0.4, 0.3]"
,CAR,"1.0 [0.9, 1.1]","1.0 [0.9, 1.2]","0.0 [-0.0, 0.1]","1.1 [0.8, 1.4]","-0.1 [-0.4, 0.3]"
South America,NWS,"1.1 [0.9, 1.4]","1.1 [0.9, 1.4]","0.0 [-0.1, 0.2]","1.3 [0.8, 1.8]","-0.2 [-0.6, 0.1]"
,NSA,"1.3 [0.8, 1.8]","1.3 [0.9, 1.7]","0.0 [-0.1, 0.1]","1.5 [0.7, 2.3]","-0.2 [-0.7, 0.3]"
,NES,"1.5 [1.2, 1.8]","1.4 [1.1, 1.7]","0.0 [-0.1, 0.1]","1.5 [1.0, 2.0]","-0.1 [-0.7, 0.4]"
,SAM,"1.4 [0.9, 2.0]","1.4 [0.9, 1.9]","-0.0 [-0.2, 0.1]","1.6 [0.9, 2.3]","-0.2 [-1.0, 0.6]"
,SWS,"0.8 [0.6, 1.0]","0.8 [0.6, 1.0]","0.1 [-0.0, 0.2]","1.0 [0.7, 1.4]","-0.3 [-0.6, -0.0]"
,SES,"1.1 [0.8, 1.4]","1.0 [0.7, 1.2]","-0.0 [-0.2, 0.1]","1.1 [0.8, 1.3]","-0.1 [-0.5, 0.3]"
,SSA,"0.9 [0.7, 1.1]","0.6 [0.4, 0.8]","0.3 [0.2, 0.4]","1.4 [1.1, 1.7]","-0.8 [-1.1, -0.5]"
Europe,NEU,"1.8 [1.0, 2.5]","1.5 [0.7, 2.3]","0.2 [-0.4, 0.7]","2.2 [1.5, 2.9]","-0.7 [-1.7, 0.2]"
,WCE,"2.2 [1.8, 2.5]","1.8 [1.4, 2.3]","0.1 [-0.2, 0.4]","1.9 [1.2, 2.7]","-0.1 [-0.8, 0.6]"
,EEU,"2.3 [1.7, 2.8]","1.9 [1.3, 2.5]","0.2 [-0.2, 0.6]","2.7 [2.0, 3.4]","-0.8 [-1.6, -0.0]"
,MED,"1.7 [1.4, 1.9]","1.5 [1.3, 1.7]","0.1 [-0.1, 0.3]","1.6 [1.0, 2.2]","-0.1 [-0.6, 0.5]"
Africa,SAH,"1.8 [1.5, 2.1]","1.7 [1.4, 2.0]","0.0 [-0.1, 0.2]","1.8 [1.2, 2.5]","-0.2 [-0.9, 0.4]"
,WAF,"1.3 [1.1, 1.6]","1.3 [1.0, 1.6]","0.1 [-0.1, 0.2]","1.7 [1.3, 2.2]","-0.4 [-1.0, 0.1]"
,CAF,"1.0 [0.6, 1.4]","1.2 [0.8, 1.6]","-0.0 [-0.2, 0.2]","1.4 [0.9, 1.9]","-0.2 [-0.7, 0.2]"
,NEAF,"1.7 [1.4, 2.0]","1.5 [1.2, 1.8]","0.1 [-0.1, 0.2]","1.8 [1.4, 2.2]","-0.3 [-0.8, 0.2]"
,SEAF,"1.2 [0.9, 1.6]","1.2 [0.9, 1.5]","0.0 [-0.1, 0.2]","1.5 [1.0, 2.0]","-0.2 [-0.7, 0.2]"
,WSAF,"1.5 [1.3, 1.8]","1.3 [1.0, 1.6]","0.1 [-0.1, 0.2]","1.7 [1.2, 2.2]","-0.4 [-0.9, 0.1]"
,ESAF,"1.4 [1.1, 1.6]","1.3 [1.0, 1.6]","0.0 [-0.1, 0.1]","1.6 [1.2, 2.0]","-0.3 [-0.7, 0.2]"
,MDG,"1.0 [0.8, 1.2]","1.1 [0.9, 1.3]","-0.0 [-0.1, 0.1]","1.3 [1.0, 1.6]","-0.2 [-0.5, 0.1]"
Asia,RAR,"3.5 [2.3, 4.8]","3.4 [2.2, 4.6]","0.2 [-0.3, 0.7]","4.2 [2.6, 5.8]","-1.0 [-3.3, 1.4]"
,WSB,"2.1 [1.6, 2.6]","2.6 [2.0, 3.2]","-0.2 [-0.7, 0.2]","2.8 [2.1, 3.5]","-0.6 [-1.9, 0.6]"
,ESB,"2.4 [1.9, 2.8]","2.6 [2.1, 3.0]","0.0 [-0.2, 0.3]","2.6 [2.0, 3.3]","-0.2 [-1.3, 0.8]"
,RFE,"1.9 [1.3, 2.6]","2.0 [1.3, 2.6]","0.1 [-0.2, 0.4]","2.9 [2.1, 3.6]","-1.0 [-2.1, 0.0]"
,WCA,"2.1 [1.7, 2.4]","2.0 [1.6, 2.3]","0.1 [-0.2, 0.3]","2.2 [1.3, 3.0]","-0.3 [-1.3, 0.6]"
,ECA,"1.8 [1.4, 2.2]","1.7 [1.3, 2.0]","0.1 [-0.0, 0.2]","2.2 [1.6, 2.9]","-0.7 [-1.4, -0.0]"
,TIB,"2.0 [1.4, 2.6]","1.9 [1.3, 2.5]","0.1 [-0.0, 0.2]","2.4 [1.7, 3.2]","-0.6 [-1.5, 0.2]"
,EAS,"1.5 [1.3, 1.8]","1.4 [1.2, 1.6]","0.1 [0.0, 0.2]","2.1 [1.6, 2.6]","-0.7 [-1.2, -0.1]"
,ARP,"1.8 [1.5, 2.2]","1.7 [1.4, 2.1]","0.1 [-0.1, 0.2]","2.0 [1.4, 2.6]","-0.3 [-0.9, 0.4]"
,SAS,"1.2 [1.0, 1.5]","1.1 [0.9, 1.4]","0.1 [-0.0, 0.2]","1.8 [1.4, 2.2]","-0.7 [-1.1, -0.2]"
Australasia,SEA,"1.1 [0.9, 1.2]","1.0 [0.8, 1.1]","0.1 [-0.0, 0.1]","1.2 [0.9, 1.6]","-0.3 [-0.6, 0.0]"
,NAU,"1.1 [0.9, 1.2]","1.0 [0.8, 1.1]","0.0 [-0.1, 0.1]","1.2 [0.8, 1.5]","-0.2 [-0.5, 0.2]"
,CAU,"1.3 [1.0, 1.7]","1.2 [1.0, 1.5]","0.0 [-0.1, 0.2]","1.5 [1.0, 2.1]","-0.3 [-0.8, 0.1]"
,EAU,"1.3 [1.1, 1.6]","1.2 [1.0, 1.4]","0.0 [-0.1, 0.2]","1.6 [1.1, 2.1]","-0.4 [-0.8, -0.1]"
,SAU,"1.1 [0.9, 1.3]","0.9 [0.7, 1.2]","0.1 [-0.1, 0.3]","0.9 [0.5, 1.3]","0.0 [-0.4, 0.4]"
,NZ,"1.0 [0.8, 1.2]","1.0 [0.7, 1.2]","-0.1 [-0.2, 0.0]","0.9 [0.5, 1.3]","0.1 [-0.4, 0.5]"
Antarctica,EAN,"1.3 [0.7, 1.9]","1.0 [0.7, 1.3]","0.1 [-0.1, 0.3]","1.3 [0.3, 2.2]","-0.2 [-0.9, 0.5]"
,WAN,"1.4 [0.3, 2.5]","0.9 [0.1, 1.7]","0.0 [-0.2, 0.3]","1.3 [0.3, 2.3]","-0.3 [-0.9, 0.4]"
Global land,LSAT,"1.6 [1.4, 1.8]","1.5 [1.3, 1.7]","0.0 [-0.1, 0.2]","1.8 [1.2, 2.4]","-0.3 [-1.0, 0.4]"
